epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,6060.65,1.50379,1.02245,0.9485,0.79233,0.68997,0.74683,0.53979,1.46036,0.94332,0.94682,0.000275643,0.000275643,0.000275643
90,6128.08,1.48524,1.01117,0.93745,0.7805,0.70787,0.75732,0.54338,1.45509,0.94595,0.94543,0.000272093,0.000272093,0.000272093
91,6194.94,1.49434,1.00175,0.94734,0.7751,0.70278,0.7504,0.54083,1.45726,0.94742,0.9455,0.000268544,0.000268544,0.000268544
92,6259.6,1.49003,1.0037,0.94414,0.79721,0.6936,0.7453,0.54555,1.44192,0.93696,0.94316,0.000264994,0.000264994,0.000264994
93,6326.18,1.48057,0.99231,0.94207,0.81368,0.68938,0.75547,0.54977,1.45119,0.93172,0.94481,0.000261445,0.000261445,0.000261445
94,6389.74,1.4735,0.99673,0.94355,0.81767,0.69364,0.7626,0.55908,1.43956,0.93089,0.9431,0.000257895,0.000257895,0.000257895
95,6459.43,1.50317,1.00762,0.94873,0.78446,0.69688,0.75881,0.55232,1.44165,0.92851,0.94248,0.000254346,0.000254346,0.000254346
96,6523.02,1.46623,0.992,0.94675,0.83447,0.67486,0.75036,0.54542,1.45276,0.93135,0.94538,0.000250796,0.000250796,0.000250796
97,6590.75,1.49234,1.01168,0.9412,0.84305,0.68383,0.75564,0.54555,1.46616,0.93648,0.94594,0.000247247,0.000247247,0.000247247
98,6654.36,1.46467,0.97513,0.94132,0.8322,0.69079,0.76257,0.55511,1.43817,0.91979,0.9402,0.000243697,0.000243697,0.000243697
99,6724.89,1.47631,0.98871,0.94168,0.79742,0.69734,0.76188,0.55232,1.44083,0.92417,0.94025,0.000240148,0.000240148,0.000240148
100,6788.9,1.45614,0.96998,0.93763,0.81046,0.69838,0.75525,0.5475,1.43804,0.91292,0.94085,0.000236598,0.000236598,0.000236598
101,6853.82,1.46491,0.97326,0.94768,0.80359,0.72215,0.77424,0.5554,1.44679,0.92106,0.94095,0.000233049,0.000233049,0.000233049
102,6918.98,1.46036,0.96826,0.93825,0.82516,0.68962,0.76708,0.55963,1.43383,0.91337,0.93888,0.000229499,0.000229499,0.000229499
103,6986.47,1.46198,0.9611,0.93687,0.81362,0.69373,0.76689,0.55409,1.43473,0.90715,0.93926,0.00022595,0.00022595,0.00022595
104,7053.66,1.44749,0.96415,0.94144,0.79605,0.71653,0.76985,0.56705,1.43521,0.90954,0.93976,0.0002224,0.0002224,0.0002224
105,7119.43,1.46507,0.96826,0.9341,0.81727,0.71369,0.7667,0.56129,1.42575,0.91328,0.93859,0.000218851,0.000218851,0.000218851
106,7186.66,1.4743,0.97215,0.93679,0.80898,0.70534,0.7662,0.5638,1.42593,0.90426,0.94017,0.000215301,0.000215301,0.000215301
107,7255.45,1.46977,0.97101,0.93677,0.81974,0.70083,0.77445,0.57052,1.42504,0.90206,0.93787,0.000211752,0.000211752,0.000211752
108,7320.11,1.43879,0.95795,0.93493,0.80259,0.72105,0.7758,0.56552,1.42287,0.90256,0.9369,0.000208202,0.000208202,0.000208202
109,7385.07,1.44088,0.95564,0.93232,0.79606,0.72216,0.77679,0.56912,1.42181,0.89544,0.9359,0.000204653,0.000204653,0.000204653
110,7451.62,1.4416,0.94407,0.93461,0.83989,0.71577,0.77734,0.56949,1.43171,0.9026,0.93751,0.000201103,0.000201103,0.000201103
111,7517.21,1.45388,0.95808,0.93874,0.81573,0.71596,0.77139,0.5668,1.41816,0.89778,0.93515,0.000197554,0.000197554,0.000197554
112,7584.36,1.45602,0.95895,0.93436,0.823,0.70926,0.77196,0.55761,1.42662,0.89443,0.93734,0.000194004,0.000194004,0.000194004
113,7648.46,1.43774,0.933,0.93314,0.8222,0.71418,0.77841,0.57111,1.41509,0.88865,0.93422,0.000190455,0.000190455,0.000190455
114,7715.52,1.44716,0.94265,0.94105,0.83572,0.70652,0.76847,0.55516,1.43182,0.90088,0.94001,0.000186905,0.000186905,0.000186905
115,7781.39,1.4414,0.93731,0.93219,0.8235,0.71988,0.77291,0.56593,1.4215,0.88865,0.93433,0.000183356,0.000183356,0.000183356
116,7848.26,1.44933,0.95166,0.93315,0.82306,0.71843,0.77753,0.56987,1.4161,0.87853,0.93471,0.000179806,0.000179806,0.000179806
117,7913,1.44218,0.93442,0.931,0.83011,0.7183,0.77915,0.57012,1.41541,0.88396,0.93449,0.000176257,0.000176257,0.000176257
118,7978.9,1.42963,0.93952,0.92863,0.84912,0.70151,0.78143,0.57364,1.42211,0.87984,0.93737,0.000172707,0.000172707,0.000172707
